WARNING:  database "finance" has a collation version mismatch
DETAIL:  The database was created using collation version 2.41, but the operating system provides version 2.36.
HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE finance REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
id,label,kms_key_id,created_at
1,retired::20251006035932,,2025-10-06 03:59:17.57181+00
2,active-old-20251006-153336,,2025-10-06 03:59:32.011933+00
3,active,projects/ledgermind-03445-3l/locations/us-east1/keyRings/ledgermind/cryptoKeys/kek,2025-10-06 15:33:36.058971+00
